dry,,mositure 4 dyas,,moisture 1 day,
Temp (degC),Contraction (%),Temp (degC),Contraction (%),Temp (degC),Contraction (%)
72.69230769,-0.049597855,82.53846154,-0.852815013,81.59876038,-0.3424
73.38461538,-0.051474531,83.76923077,-0.882841823,80.20573326,-0.3244
74.30769231,-0.058981233,84.61538462,-0.914745308,78.96741118,-0.30928
75.30769231,-0.062734584,85.53846154,-0.942895442,77.80619369,-0.29848
76,-0.068364611,86.07692308,-0.96541555,77.03248257,-0.28624
77,-0.075871314,86.61538462,-0.99919571,75.79397454,-0.27328
77.92307692,-0.077747989,86.07692308,-1.01233244,75.09749198,-0.26392
79.07692308,-0.085254692,84.92307692,-1.010455764,73.78163143,-0.24952
80,-0.089008043,84.23076923,-0.989812332,72.85284339,-0.23872
80.84615385,-0.098391421,83.38461538,-0.972922252,71.69168788,-0.2272
82,-0.107774799,82.61538462,-0.954155496,70.68542335,-0.2164
83,-0.113404826,81.76923077,-0.933512064,69.67922081,-0.20488
83.76923077,-0.122788204,80.84615385,-0.910991957,68.67283232,-0.19552
84.53846154,-0.132171582,80.07692308,-0.892225201,67.74385833,-0.18688
85.23076923,-0.137801609,78.92307692,-0.865951743,66.7375938,-0.17608
85.69230769,-0.147184987,78.15384615,-0.839678284,65.88603431,-0.16816
85.23076923,-0.156568365,77,-0.81152815,64.9571223,-0.1588
84.61538462,-0.165951743,75.92307692,-0.779624665,63.71830437,-0.14944
83.92307692,-0.171581769,74.69230769,-0.749597855,62.71191588,-0.14008
83.23076923,-0.169705094,73.53846154,-0.719571046,61.55057443,-0.13072
82.07692308,-0.167828418,72.38461538,-0.691420912,60.31181848,-0.12064
81.30769231,-0.160321716,71.23076923,-0.665147453,59.07293857,-0.112
80.46153846,-0.154691689,70.23076923,-0.642627346,57.67941561,-0.09976
79.69230769,-0.150938338,69.23076923,-0.616353887,56.28539679,-0.09328
78.53846154,-0.143431635,68.23076923,-0.59383378,55.5886663,-0.0868
77.38461538,-0.135924933,67.15384615,-0.573190349,54.34972441,-0.07888
76.07692308,-0.128418231,66,-0.550670241,53.18819701,-0.07168
74.92307692,-0.119034853,64.76923077,-0.526273458,51.87165468,-0.0652
73.84615385,-0.109651475,63.84615385,-0.505630027,50.40015938,-0.05872
72.84615385,-0.105898123,63.15384615,-0.490616622,49.08336912,-0.05512
71.76923077,-0.098391421,62.30769231,-0.475603217,48.1538373,-0.05296
70.69230769,-0.092761394,61.61538462,-0.460589812,46.83729496,-0.04648
69.53846154,-0.085254692,60.53846154,-0.439946381,45.67558163,-0.04144
68.23076923,-0.08150134,59.76923077,-0.424932976,44.35885335,-0.03712
67,-0.072117962,59,-0.409919571,42.73215717,-0.03352
65.38461538,-0.06461126,58,-0.391152815,41.33795241,-0.0292
63.38461538,-0.055227882,57,-0.372386059,40.09863863,-0.0256
61.46153846,-0.045844504,55.92307692,-0.355495979,38.70430991,-0.02272
60,-0.040214477,55,-0.340482574,37.23231876,-0.022
58.53846154,-0.036461126,53.69230769,-0.327345845,35.99288102,-0.01984
56.84615385,-0.03458445,52.61538462,-0.316085791,34.44347537,-0.0184
55.69230769,-0.030831099,51.84615385,-0.308579088,32.89419369,-0.01552
54.84615385,-0.030831099,50.92307692,-0.29919571,31.57715551,-0.0148
53.84615385,-0.028954424,50.30769231,-0.289812332,30.57008522,-0.01336
52.61538462,-0.027077748,48.92307692,-0.274798928,29.64036746,-0.01336
51.61538462,-0.025201072,47.92307692,-0.263538874,28.47828224,-0.01264
50.46153846,-0.023324397,46.76923077,-0.250402145,27.62610293,-0.01192
49.46153846,-0.021447721,45.76923077,-0.239142091,27.31619701,-0.01192
48.46153846,-0.019571046,44.61538462,-0.226005362,26.46395573,-0.01192
47.30769231,-0.01769437,43.53846154,-0.212868633,,
46.07692308,-0.01769437,42.30769231,-0.201608579,,
45.15384615,-0.015817694,41.15384615,-0.18847185,,
43.76923077,-0.013941019,39.76923077,-0.175335121,,
42.76923077,-0.013941019,38.53846154,-0.164075067,,
41.84615385,-0.012064343,37.30769231,-0.150938338,,
41.07692308,-0.012064343,36.23076923,-0.139678284,,
39.69230769,-0.010187668,35.15384615,-0.130294906,,
